symbol,datetime,open,high,low,close,volume,amount
920106.BJ,2024-12-18,68.0,78.07,63.5,68.4,62803.97,432914.88
920106.BJ,2024-12-19,69.0,76.5,62.27,62.89,48146.14,326561.62
920106.BJ,2024-12-20,57.98,59.4,56.0,56.13,38406.28,219600.21
920106.BJ,2024-12-23,57.8,59.98,55.0,59.14,37238.68,213361.95
920106.BJ,2024-12-24,60.0,62.39,57.6,59.17,25474.87,152846.05
920106.BJ,2024-12-25,58.01,58.33,55.21,55.21,18318.91,104234.47
920106.BJ,2024-12-26,55.4,57.0,54.73,54.93,12887.31,71930.02
920106.BJ,2024-12-27,55.0,56.38,54.5,55.3,9552.36,52644.58
920106.BJ,2024-12-30,55.61,57.73,55.01,57.73,13294.58,75195.85
920106.BJ,2024-12-31,59.5,63.43,58.02,60.0,20306.42,123226.09
920106.BJ,2025-01-02,60.8,61.55,58.61,61.26,14781.76,88336.07
920106.BJ,2025-01-03,62.86,64.2,60.68,61.38,16875.22,105548.17
920106.BJ,2025-01-06,60.0,60.0,55.76,55.76,13616.19,78033.97
920106.BJ,2025-01-07,55.9,56.78,54.6,56.55,7946.46,44096.76
920106.BJ,2025-01-08,56.48,57.99,55.35,57.99,8709.17,49422.26
920106.BJ,2025-01-09,58.0,60.65,57.41,58.01,11120.73,65674.68
920106.BJ,2025-01-10,57.6,57.6,55.0,55.02,11869.12,66380.56
920106.BJ,2025-01-13,54.3,55.39,53.3,55.2,6357.77,34499.8
920106.BJ,2025-01-14,56.5,59.21,55.2,59.21,12328.38,70363.21
920106.BJ,2025-01-15,57.8,58.66,56.5,56.68,9915.25,57064.1
920106.BJ,2025-01-16,56.68,57.68,55.51,55.63,7442.99,42085.22
920106.BJ,2025-01-17,55.09,55.43,54.51,54.9,4709.59,25849.4
920106.BJ,2025-01-20,55.3,56.57,55.08,56.21,4433.24,24812.38
920106.BJ,2025-01-21,56.6,58.2,56.4,56.47,5919.2,33882.92
920106.BJ,2025-01-22,56.47,56.47,55.0,55.1,4956.72,27403.93
920106.BJ,2025-01-23,55.87,56.15,54.74,55.2,4356.43,24175.44
920106.BJ,2025-01-24,56.49,58.37,56.25,57.18,11257.92,64668.16
920106.BJ,2025-01-27,56.7,56.8,55.4,55.48,6926.84,38831.5
920106.BJ,2025-02-05,55.88,55.88,53.5,53.94,7020.53,38069.2
920106.BJ,2025-02-06,53.96,57.0,52.7,56.8,11860.26,64740.52
920106.BJ,2025-02-07,56.71,59.24,56.0,57.11,15234.78,87529.59
920106.BJ,2025-02-10,56.89,57.47,55.94,57.36,10069.12,56983.28
920106.BJ,2025-02-11,57.75,62.99,57.7,58.99,16164.68,97494.02
920106.BJ,2025-02-12,58.8,62.7,57.16,62.39,15778.92,94293.91
920106.BJ,2025-02-13,63.0,65.4,59.52,59.68,12618.61,78584.21
920106.BJ,2025-02-14,60.2,61.87,58.5,60.98,10190.65,61532.34
920106.BJ,2025-02-17,61.87,61.9,58.76,59.49,9396.06,56626.14
920106.BJ,2025-02-18,59.68,60.32,58.07,58.29,7039.32,41646.24
920106.BJ,2025-02-19,58.19,59.44,57.78,59.37,7231.31,42317.17
920106.BJ,2025-02-20,58.85,60.85,58.85,60.66,9236.25,55246.44
920106.BJ,2025-02-21,60.88,60.88,59.01,60.05,8051.15,48180.42
920106.BJ,2025-02-24,60.0,63.6,59.52,63.6,13649.56,84324.92
920106.BJ,2025-02-25,63.9,68.0,62.1,67.0,15066.43,97841.12
