trade_date,open,high,low,close,pre_close,pct_chg,vol
2005-03-30,1192.447,1192.447,1171.811,1172.574,1195.018,-1.8781,11383481.0
2005-03-31,1168.828,1181.531,1162.031,1181.236,1172.574,0.7387,10437790.0
2005-04-01,1180.373,1237.8,1173.543,1223.566,1181.236,3.5835,19660332.0
2005-04-04,1212.118,1218.275,1196.945,1202.967,1223.566,-1.6835,13794401.0
2005-04-05,1200.691,1209.341,1189.255,1191.745,1202.967,-0.9329,11582684.0
2005-04-06,1191.198,1220.415,1183.906,1214.868,1191.745,1.9403,16727966.0
2005-04-07,1216.728,1248.062,1213.65,1225.487,1214.868,0.8741,24276814.0
2005-04-08,1225.049,1249.203,1218.759,1248.521,1225.487,1.8796,17768998.0
2005-04-11,1248.15,1252.813,1235.356,1240.972,1248.521,-0.6046,19300757.0
2005-04-12,1239.134,1239.134,1218.512,1219.511,1240.972,-1.7294,13075881.0
2005-04-13,1228.974,1254.319,1228.974,1248.203,1219.511,2.3527,19547071.0
2005-04-14,1252.206,1253.598,1233.237,1234.332,1248.203,-1.1113,15616198.0
2005-04-15,1229.68,1229.68,1213.203,1216.962,1234.332,-1.4072,14262298.0
2005-04-18,1212.392,1212.392,1190.984,1197.735,1216.962,-1.5799,11671176.0
2005-04-19,1196.281,1202.492,1191.231,1199.902,1197.735,0.1809,10950126.0
2005-04-20,1198.956,1198.956,1178.64,1184.193,1199.902,-1.3092,11182984.0
2005-04-21,1182.205,1190.541,1167.994,1172.556,1184.193,-0.9827,13266844.0
2005-04-22,1171.028,1177.885,1163.402,1169.187,1172.556,-0.2873,13578363.0
2005-04-25,1166.342,1166.342,1146.414,1157.971,1169.187,-0.9593,13547648.0
2005-04-26,1155.644,1169.145,1151.637,1165.335,1157.971,0.6359,13974141.0
2005-04-27,1165.099,1166.198,1148.138,1148.757,1165.335,-1.4226,13612865.0
2005-04-28,1145.746,1172.71,1135.733,1169.118,1148.757,1.7724,17419743.0
2005-04-29,1168.331,1170.199,1155.985,1159.146,1169.118,-0.853,14105696.0
2005-05-09,1160.62,1165.39,1130.411,1130.835,1159.146,-2.4424,10869350.0
2005-05-10,1126.818,1135.798,1108.42,1135.561,1130.835,0.4179,13164154.0
2005-05-11,1134.595,1140.171,1121.867,1124.271,1135.561,-0.9942,10995569.0
2005-05-12,1122.178,1122.916,1099.84,1103.993,1124.271,-1.8037,12355883.0
2005-05-13,1101.606,1120.169,1093.281,1107.627,1103.993,0.3292,13474947.0
2005-05-16,1105.397,1105.397,1082.137,1095.468,1107.627,-1.0978,10227759.0
2005-05-17,1091.258,1108.178,1083.943,1099.64,1095.468,0.3808,11568727.0
2005-05-18,1099.74,1108.844,1090.299,1102.965,1099.64,0.3024,10378408.0
2005-05-19,1101.753,1107.227,1083.115,1103.475,1102.965,0.0462,10658166.0
2005-05-20,1100.491,1108.61,1094.669,1099.269,1103.475,-0.3812,9584041.0
2005-05-23,1095.308,1095.308,1069.435,1070.844,1099.269,-2.5858,9533945.0
2005-05-24,1065.998,1078.098,1057.536,1073.847,1070.844,0.2804,11029454.0
2005-05-25,1072.521,1082.179,1064.875,1072.137,1073.847,-0.1592,9807597.0
2005-05-26,1071.212,1077.441,1055.816,1058.867,1072.137,-1.2377,9498556.0
2005-05-27,1056.323,1068.211,1050.055,1051.946,1058.867,-0.6536,10146251.0
2005-05-30,1049.721,1063.947,1043.276,1060.162,1051.946,0.781,8599816.0
2005-05-31,1061.612,1070.502,1057.748,1060.738,1060.162,0.0543,9239224.0
2005-06-01,1059.61,1063.518,1035.706,1039.187,1060.738,-2.0317,10062490.0
2005-06-02,1036.73,1036.73,1008.754,1016.063,1039.187,-2.2252,11465556.0
2005-06-03,1013.903,1019.922,1000.522,1013.637,1016.063,-0.2388,10016268.0
2005-06-06,1010.381,1034.853,998.228,1034.378,1013.637,2.0462,11043599.0
2005-06-07,1036.617,1055.629,1029.539,1030.941,1034.378,-0.3323,15703053.0
2005-06-08,1044.179,1118.694,1040.158,1115.582,1030.941,8.2101,40282852.0
2005-06-09,1118.806,1146.417,1103.681,1131.052,1115.582,1.3867,40690928.0
2005-06-10,1130.554,1130.554,1101.828,1108.286,1131.052,-2.0128,28410801.0
2005-06-13,1105.961,1112.101,1085.866,1106.291,1108.286,-0.18,19203779.0
2005-06-14,1108.337,1119.676,1092.402,1093.464,1106.291,-1.1595,18368255.0
2005-06-15,1090.458,1090.458,1070.065,1072.836,1093.464,-1.8865,15267633.0
2005-06-16,1071.772,1086.348,1064.027,1086.01,1072.836,1.228,14483083.0
2005-06-17,1090.114,1094.669,1079.078,1085.61,1086.01,-0.0368,16752562.0
2005-06-20,1087.849,1115.862,1073.41,1115.62,1085.61,2.7643,21468619.0
2005-06-21,1115.665,1115.665,1098.904,1101.486,1115.62,-1.2669,15478090.0
2005-06-22,1098.958,1103.249,1090.745,1102.033,1101.486,0.0497,12351453.0
2005-06-23,1100.559,1106.749,1092.478,1093.702,1102.033,-0.756,11484886.0
2005-06-24,1091.989,1102.23,1087.693,1101.882,1093.702,0.7479,11121075.0
2005-06-27,1108.465,1129.959,1108.465,1124.64,1101.882,2.0654,21842381.0
2005-06-28,1120.945,1120.945,1105.341,1108.588,1124.64,-1.4273,13458431.0
2005-06-29,1111.667,1113.522,1103.906,1104.992,1108.588,-0.3244,13469379.0
2005-06-30,1103.477,1103.477,1078.1,1080.938,1104.992,-2.1768,13785959.0
2005-07-01,1077.313,1077.313,1053.631,1055.594,1080.938,-2.3446,13597814.0
2005-07-04,1050.242,1050.242,1030.179,1047.278,1055.594,-0.7878,12275958.0
2005-07-05,1043.883,1047.823,1032.515,1039.043,1047.278,-0.7863,10494885.0
2005-07-06,1040.699,1044.779,1028.22,1033.545,1039.043,-0.5291,9196428.0
2005-07-07,1033.218,1044.053,1030.498,1038.597,1033.545,0.4888,8570426.0
2005-07-08,1036.412,1036.412,1015.399,1017.983,1038.597,-1.9848,10337367.0
2005-07-11,1026.79,1043.207,1009.038,1011.499,1017.983,-0.6369,11330361.0
2005-07-12,1007.901,1048.918,1004.081,1046.161,1011.499,3.4268,18457805.0
2005-07-13,1044.578,1045.943,1033.81,1037.394,1046.161,-0.838,12821974.0
2005-07-14,1035.527,1049.881,1033.165,1040.416,1037.394,0.2913,12571093.0
2005-07-15,1039.609,1046.364,1021.986,1026.115,1040.416,-1.3745,12750514.0
2005-07-18,1023.38,1023.38,1008.521,1012.097,1026.115,-1.3661,10964842.0
2005-07-19,1011.005,1020.675,1004.657,1014.355,1012.097,0.2231,9882316.0
2005-07-20,1013.984,1025.103,1008.682,1021.052,1014.355,0.6602,10568559.0
2005-07-21,1020.693,1022.044,1009.986,1020.632,1021.052,-0.0411,11140360.0
2005-07-22,1026.129,1054.635,1024.001,1046.321,1020.632,2.517,25488349.0
2005-07-25,1045.269,1048.974,1040.592,1045.4,1046.321,-0.088,14134108.0
2005-07-26,1046.536,1078.056,1046.536,1072.807,1045.4,2.6217,25577510.0
2005-07-27,1072.564,1090.185,1068.497,1089.909,1072.807,1.5941,23812348.0
2005-07-28,1090.11,1097.634,1083.357,1086.548,1089.909,-0.3084,24695847.0
2005-07-29,1084.972,1088.476,1077.122,1083.033,1086.548,-0.3235,17683944.0
2005-08-01,1082.796,1094.151,1081.118,1088.948,1083.033,0.5462,14731551.0
2005-08-02,1089.528,1104.044,1084.796,1104.038,1088.948,1.3857,19015019.0
2005-08-03,1106.317,1120.679,1103.904,1107.699,1104.038,0.3316,31436454.0
2005-08-04,1104.91,1108.163,1099.134,1102.589,1107.699,-0.4613,19436798.0
2005-08-05,1102.62,1129.068,1102.596,1128.743,1102.589,2.3721,27096069.0
2005-08-08,1131.803,1146.727,1131.803,1138.882,1128.743,0.8983,30237526.0
2005-08-09,1139.122,1152.94,1130.585,1152.534,1138.882,1.1987,27154091.0
2005-08-10,1153.209,1165.127,1144.95,1165.033,1152.534,1.0845,31427115.0
2005-08-11,1165.443,1184.256,1164.104,1183.579,1165.033,1.5919,36967037.0
2005-08-12,1185.266,1192.049,1161.787,1167.915,1183.579,-1.3234,40478755.0
2005-08-15,1167.033,1187.797,1163.848,1187.006,1167.915,1.6346,30319519.0
2005-08-16,1188.02,1192.917,1170.11,1177.278,1187.006,-0.8195,33155379.0
2005-08-17,1175.176,1193.568,1160.082,1192.834,1177.278,1.3214,32307341.0
2005-08-18,1194.436,1201.755,1146.561,1148.035,1192.834,-3.7557,49201496.0
2005-08-19,1144.459,1157.37,1132.865,1150.184,1148.035,0.1872,31501185.0
2005-08-22,1148.972,1162.04,1142.678,1158.597,1150.184,0.7314,24033198.0
2005-08-23,1158.829,1159.631,1139.239,1149.957,1158.597,-0.7457,21840708.0
2005-08-24,1151.448,1171.434,1151.448,1167.137,1149.957,1.494,22674109.0
2005-08-25,1167.999,1172.69,1157.183,1172.475,1167.137,0.4574,24232098.0
2005-08-26,1173.01,1174.537,1163.991,1171.86,1172.475,-0.0525,24296356.0
2005-08-29,1171.999,1172.014,1147.934,1154.428,1171.86,-1.4875,24333195.0
2005-08-30,1151.621,1153.765,1145.272,1146.385,1154.428,-0.6967,18551862.0
2005-08-31,1145.813,1163.524,1140.099,1162.798,1146.385,1.4317,21676099.0
2005-09-01,1163.7,1185.76,1160.048,1184.933,1162.798,1.9036,33830475.0
2005-09-02,1187.062,1188.913,1179.109,1188.848,1184.933,0.3304,28920490.0
2005-09-05,1189.065,1196.866,1184.011,1196.224,1188.848,0.6204,26700066.0
2005-09-06,1197.231,1201.824,1172.064,1173.322,1196.224,-1.9145,33685273.0
2005-09-07,1170.77,1194.586,1168.581,1194.309,1173.322,1.7887,28602851.0
2005-09-08,1196.273,1201.463,1184.788,1194.411,1194.309,0.0085,30528056.0
2005-09-09,1194.495,1204.456,1184.423,1189.625,1194.411,-0.4007,22155746.0
2005-09-12,1189.747,1191.933,1181.434,1188.212,1189.625,-0.1188,17096689.0
2005-09-13,1188.25,1207.401,1186.22,1207.164,1188.212,1.595,25913705.0
2005-09-14,1209.267,1217.413,1204.546,1217.261,1207.164,0.8364,32243761.0
2005-09-15,1217.519,1218.941,1210.718,1217.281,1217.261,0.0016,27217492.0
2005-09-16,1217.419,1217.758,1208.561,1212.947,1217.281,-0.356,22397225.0
2005-09-19,1213.486,1220.974,1210.188,1220.627,1212.947,0.6332,24656893.0
2005-09-20,1222.255,1223.565,1204.869,1212.617,1220.627,-0.6562,32300692.0
2005-09-21,1210.852,1210.852,1186.981,1187.988,1212.617,-2.0311,31799464.0
2005-09-22,1185.688,1185.688,1147.194,1159.96,1187.988,-2.3593,28602274.0
2005-09-23,1157.295,1164.599,1149.745,1151.98,1159.96,-0.688,18774394.0
2005-09-26,1150.933,1155.604,1147.268,1155.042,1151.98,0.2658,14538133.0
2005-09-27,1155.053,1157.799,1132.527,1133.237,1155.042,-1.8878,18093629.0
2005-09-28,1131.317,1142.49,1129.054,1131.774,1133.237,-0.1291,14751543.0
2005-09-29,1134.441,1155.777,1134.441,1155.485,1131.774,2.095,18536992.0
2005-09-30,1156.77,1158.698,1150.627,1155.614,1155.485,0.0112,14493481.0
2005-10-10,1153.672,1153.672,1137.289,1138.95,1155.614,-1.442,11720065.0
2005-10-11,1137.948,1157.303,1133.895,1157.192,1138.95,1.6017,13426560.0
2005-10-12,1157.485,1165.666,1152.251,1161.853,1157.192,0.4028,18467231.0
2005-10-13,1162.023,1165.355,1152.089,1152.607,1161.853,-0.7958,16905239.0
2005-10-14,1152.374,1154.32,1135.509,1139.547,1152.607,-1.1331,15145999.0
2005-10-17,1138.379,1138.379,1121.968,1131.375,1139.547,-0.7171,15135238.0
2005-10-18,1131.263,1142.037,1129.669,1141.201,1131.375,0.8685,18928090.0
2005-10-19,1141.052,1150.594,1132.479,1134.608,1141.201,-0.5777,18908399.0
2005-10-20,1133.453,1136.314,1119.378,1135.949,1134.608,0.1182,17371817.0
2005-10-21,1135.61,1145.99,1132.358,1141.318,1135.949,0.4726,18011154.0
2005-10-24,1141.331,1143.459,1133.92,1141.171,1141.318,-0.0129,17275913.0
2005-10-25,1140.173,1140.173,1121.286,1121.918,1141.171,-1.6871,16929914.0
2005-10-26,1119.429,1119.429,1094.571,1097.161,1121.918,-2.2067,19211835.0
2005-10-27,1093.93,1101.269,1087.484,1097.782,1097.161,0.0566,17203742.0
2005-10-28,1097.585,1102.023,1067.407,1080.867,1097.782,-1.5408,17973929.0
2005-10-31,1079.04,1096.149,1078.285,1092.817,1080.867,1.1056,14835142.0
2005-11-01,1091.677,1094.153,1074.298,1089.95,1092.817,-0.2623,13985501.0
2005-11-02,1089.997,1108.884,1089.997,1104.792,1089.95,1.3617,18764779.0
2005-11-03,1104.594,1111.437,1090.821,1095.273,1104.792,-0.8616,16862694.0
2005-11-04,1094.258,1100.43,1087.845,1100.045,1095.273,0.4357,12783138.0
2005-11-07,1099.527,1100.952,1089.829,1100.65,1100.045,0.055,12082279.0
2005-11-08,1099.94,1111.119,1092.539,1110.147,1100.65,0.8629,15311164.0
2005-11-09,1110.547,1117.063,1107.642,1108.153,1110.147,-0.1796,16725453.0
2005-11-10,1106.944,1106.944,1086.1,1088.301,1108.153,-1.7914,16155985.0
2005-11-11,1085.694,1094.307,1078.583,1090.195,1088.301,0.174,12560032.0
2005-11-14,1089.559,1089.709,1083.023,1088.653,1090.195,-0.1414,9202688.0
2005-11-15,1088.512,1099.029,1082.507,1087.508,1088.653,-0.1052,12215753.0
2005-11-16,1086.826,1096.297,1075.431,1095.89,1087.508,0.7708,12608646.0
2005-11-17,1094.878,1098.675,1090.355,1095.31,1095.89,-0.0529,11961802.0
2005-11-18,1095.521,1122.61,1093.529,1116.999,1095.31,1.9802,22480629.0
2005-11-21,1117.776,1122.879,1114.243,1119.936,1116.999,0.2629,15543906.0
2005-11-22,1119.689,1119.689,1098.495,1098.655,1119.936,-1.9002,14646805.0
2005-11-23,1096.56,1106.477,1093.952,1105.746,1098.655,0.6454,12601919.0
2005-11-24,1105.335,1117.944,1103.763,1113.374,1105.746,0.6899,17140958.0
2005-11-25,1113.283,1115.081,1107.213,1114.916,1113.374,0.1385,15509150.0
2005-11-28,1113.829,1119.345,1106.943,1110.823,1114.916,-0.3671,12852408.0
2005-11-29,1109.569,1110.305,1095.344,1096.986,1110.823,-1.2457,11879938.0
2005-11-30,1095.299,1099.577,1090.723,1099.261,1096.986,0.2074,10875975.0
2005-12-01,1098.784,1104.563,1094.438,1098.747,1099.261,-0.0468,8932119.0
2005-12-02,1099.756,1102.759,1089.562,1094.287,1098.747,-0.4059,10636974.0
2005-12-05,1093.101,1093.101,1077.405,1079.197,1094.287,-1.379,11224965.0
2005-12-06,1077.578,1089.594,1074.007,1087.794,1079.197,0.7966,11052745.0
2005-12-07,1087.741,1100.048,1086.733,1099.615,1087.794,1.0867,10389383.0
2005-12-08,1100.685,1106.342,1092.992,1098.323,1099.615,-0.1175,10398709.0
2005-12-09,1097.515,1114.584,1094.738,1113.477,1098.323,1.3797,13487010.0
2005-12-12,1115.751,1118.525,1109.082,1116.367,1113.477,0.2595,11944637.0
2005-12-13,1115.765,1119.421,1106.749,1117.846,1116.367,0.1325,11376092.0
2005-12-14,1117.47,1127.629,1110.206,1125.387,1117.846,0.6746,15022124.0
2005-12-15,1125.672,1134.853,1121.556,1123.555,1125.387,-0.1628,16824259.0
2005-12-16,1122.733,1127.941,1118.936,1127.508,1123.555,0.3518,12610777.0
2005-12-19,1127.837,1134.5,1123.504,1131.751,1127.508,0.3763,12228678.0
2005-12-20,1131.796,1136.386,1126.991,1136.342,1131.751,0.4057,11712710.0
2005-12-21,1135.977,1142.393,1128.943,1130.759,1136.342,-0.4913,12292322.0
2005-12-22,1129.564,1136.001,1125.954,1135.238,1130.759,0.3961,11121539.0
2005-12-23,1135.705,1144.938,1135.074,1144.871,1135.238,0.8485,14472553.0
2005-12-26,1145.77,1159.782,1145.337,1156.823,1144.871,1.044,18653133.0
2005-12-27,1157.489,1158.163,1149.847,1154.288,1156.823,-0.2191,15673883.0
2005-12-28,1155.117,1157.197,1149.271,1157.034,1154.288,0.2379,14680286.0
2005-12-29,1157.506,1169.867,1157.505,1169.862,1157.034,1.1087,21803399.0
2005-12-30,1171.575,1173.064,1158.966,1161.057,1169.862,-0.7527,20027934.0
2006-01-04,1163.878,1181.004,1161.906,1180.963,1161.057,1.7145,23258542.0
2006-01-05,1183.305,1197.837,1180.451,1197.269,1180.963,1.3807,29484479.0
2006-01-06,1198.811,1215.536,1191.614,1209.422,1197.269,1.0151,34342856.0
2006-01-09,1210.32,1217.314,1205.248,1215.668,1209.422,0.5164,28706657.0
2006-01-10,1215.848,1220.756,1203.651,1220.618,1215.668,0.4072,26794547.0
2006-01-11,1219.811,1223.559,1204.041,1211.053,1220.618,-0.7836,30631464.0
2006-01-12,1208.766,1227.302,1205.283,1226.704,1211.053,1.2923,27018916.0
2006-01-13,1228.157,1231.223,1214.881,1221.459,1226.704,-0.4276,27708578.0
2006-01-16,1221.11,1221.386,1202.587,1202.869,1221.459,-1.522,25274318.0
2006-01-17,1200.255,1209.024,1198.839,1208.438,1202.869,0.463,19726462.0
2006-01-18,1207.525,1234.529,1206.359,1233.35,1208.438,2.0615,26667854.0
2006-01-19,1235.083,1251.957,1230.85,1251.576,1233.35,1.4778,33617749.0
2006-01-20,1251.409,1258.698,1247.205,1255.308,1251.576,0.2982,33203923.0
2006-01-23,1254.777,1257.347,1244.274,1255.774,1255.308,0.0371,29028660.0
2006-01-24,1256.005,1262.087,1247.007,1252.062,1255.774,-0.2956,29671421.0
2006-01-25,1251.269,1260.174,1245.916,1258.046,1252.062,0.4779,26558660.0
2006-02-06,1263.003,1287.665,1263.003,1287.626,1258.046,2.3513,29177507.0
2006-02-07,1289.453,1297.404,1270.404,1282.096,1287.626,-0.4295,38404741.0
2006-02-08,1282.121,1291.737,1276.02,1290.055,1282.096,0.6208,32857299.0
2006-02-09,1288.966,1288.966,1266.811,1269.454,1290.055,-1.5969,29079091.0
2006-02-10,1269.536,1284.096,1266.225,1282.656,1269.454,1.04,26314211.0
2006-02-13,1283.776,1284.951,1267.561,1279.64,1282.656,-0.2351,26131772.0
2006-02-14,1279.627,1286.421,1275.85,1286.327,1279.64,0.5226,22541704.0
2006-02-15,1289.138,1300.995,1288.637,1299.166,1286.327,0.9981,30147904.0
2006-02-16,1298.497,1298.497,1268.564,1270.633,1299.166,-2.1963,32352607.0
2006-02-17,1269.4,1280.041,1265.141,1267.408,1270.633,-0.2538,25903067.0
2006-02-20,1268.107,1279.423,1265.38,1267.542,1267.408,0.0106,21542797.0
2006-02-21,1266.645,1288.546,1256.808,1288.419,1267.542,1.647,26659021.0
2006-02-22,1288.853,1297.939,1282.91,1284.226,1288.419,-0.3254,28517841.0
2006-02-23,1284.13,1289.943,1273.942,1288.847,1284.226,0.3598,22875047.0
2006-02-24,1289.434,1297.343,1286.962,1296.866,1288.847,0.6222,23578148.0
2006-02-27,1297.687,1304.613,1293.467,1297.186,1296.866,0.0247,26819785.0
2006-02-28,1294.807,1299.473,1277.741,1299.03,1297.186,0.1422,23647422.0
2006-03-01,1299.154,1308.196,1297.763,1306.586,1299.03,0.5817,23640674.0
2006-03-02,1306.585,1307.639,1281.571,1285.666,1306.586,-1.6011,28445729.0
2006-03-03,1284.606,1295.411,1275.624,1293.297,1285.666,0.5935,24925458.0
2006-03-06,1292.747,1296.847,1286.644,1288.955,1293.297,-0.3357,20329582.0
2006-03-07,1288.255,1288.255,1257.54,1259.916,1288.955,-2.2529,22653395.0
2006-03-08,1256.685,1258.239,1238.156,1250.384,1259.916,-0.7566,19841574.0
2006-03-09,1247.462,1253.758,1242.681,1245.166,1250.384,-0.4173,15385934.0
2006-03-10,1245.188,1253.911,1240.751,1245.653,1245.166,0.0391,14095626.0
2006-03-13,1245.3,1260.071,1245.3,1259.674,1245.653,1.1256,13775153.0
2006-03-14,1260.422,1262.752,1250.277,1259.044,1259.674,-0.05,14875712.0
2006-03-15,1259.231,1275.515,1258.146,1274.812,1259.044,1.2524,18451269.0
2006-03-16,1274.615,1277.194,1270.831,1274.19,1274.812,-0.0488,18322699.0
2006-03-17,1273.01,1276.628,1265.606,1269.462,1274.19,-0.3711,18754804.0
2006-03-20,1269.581,1288.971,1264.41,1288.418,1269.462,1.4932,20297174.0
2006-03-21,1288.555,1297.608,1285.431,1290.395,1288.418,0.1534,24345687.0
2006-03-22,1289.461,1296.912,1281.128,1296.706,1290.395,0.4891,22330090.0
2006-03-23,1296.194,1302.791,1289.525,1302.457,1296.706,0.4435,25465408.0
2006-03-24,1302.141,1308.057,1293.296,1294.704,1302.457,-0.5953,24423936.0
2006-03-27,1296.066,1296.593,1283.682,1295.915,1294.704,0.0935,20613246.0
2006-03-28,1295.76,1302.648,1293.0,1298.791,1295.915,0.2219,25011826.0
2006-03-29,1299.383,1313.125,1296.59,1305.567,1298.791,0.5217,34152236.0
2006-03-30,1305.843,1308.496,1293.829,1294.718,1305.567,-0.831,26038827.0
2006-03-31,1291.518,1298.751,1285.735,1298.295,1294.718,0.2763,26636858.0
2006-04-03,1298.684,1319.485,1298.684,1319.471,1298.295,1.6311,32804669.0
2006-04-04,1319.837,1330.105,1315.331,1329.798,1319.471,0.7827,37134050.0
2006-04-05,1330.561,1341.504,1326.533,1340.162,1329.798,0.7794,37763198.0
2006-04-06,1341.736,1348.52,1336.138,1339.737,1340.162,-0.0317,41715075.0
2006-04-07,1340.646,1345.291,1330.513,1342.965,1339.737,0.2409,40666055.0
2006-04-10,1344.239,1359.408,1339.523,1359.081,1342.965,1.2,41415428.0
2006-04-11,1360.978,1366.523,1350.323,1362.229,1359.081,0.2316,43870408.0
2006-04-12,1361.741,1364.691,1355.655,1360.132,1362.229,-0.1539,37129072.0
2006-04-13,1359.278,1364.316,1331.682,1332.33,1360.132,-2.0441,41299055.0
2006-04-14,1330.095,1360.094,1328.435,1359.538,1332.33,2.0421,37871219.0
2006-04-17,1360.644,1383.654,1353.396,1378.614,1359.538,1.4031,42219761.0
2006-04-18,1379.813,1391.378,1370.153,1385.114,1378.614,0.4715,36785181.0
2006-04-19,1389.134,1399.547,1378.796,1396.702,1385.114,0.8366,40578163.0
2006-04-20,1398.098,1404.192,1376.961,1385.9,1396.702,-0.7734,43303288.0
2006-04-21,1385.923,1419.891,1383.45,1416.793,1385.9,2.2291,45569103.0
2006-04-24,1423.409,1429.056,1402.269,1409.786,1416.793,-0.4946,52015803.0
2006-04-25,1405.898,1409.274,1386.126,1399.767,1409.786,-0.7107,43248836.0
2006-04-26,1399.068,1426.626,1397.349,1417.477,1399.767,1.2652,48410649.0
2006-04-27,1418.903,1424.465,1407.141,1416.732,1417.477,-0.0526,37608444.0
2006-04-28,1403.523,1444.714,1389.346,1440.223,1416.732,1.6581,44562043.0
2006-05-08,1446.992,1497.202,1446.992,1497.104,1440.223,3.9495,51620655.0
2006-05-09,1503.239,1532.754,1497.994,1531.161,1497.104,2.2749,64683904.0
2006-05-10,1537.561,1554.034,1518.335,1545.687,1531.161,0.9487,62717096.0
2006-05-11,1547.556,1583.761,1536.292,1537.377,1545.687,-0.5376,73218335.0
2006-05-12,1532.878,1603.211,1531.233,1602.832,1537.377,4.2576,68393752.0
2006-05-15,1616.259,1664.938,1606.57,1664.088,1602.832,3.8217,87725270.0
2006-05-16,1658.692,1678.599,1604.784,1613.251,1664.088,-3.0549,88275040.0
2006-05-17,1613.23,1640.695,1592.185,1625.146,1613.251,0.7373,70980534.0
2006-05-18,1611.657,1630.073,1582.962,1617.281,1625.146,-0.484,60585107.0
2006-05-19,1620.213,1664.614,1610.04,1659.545,1617.281,2.6133,77086291.0
2006-05-22,1656.754,1674.221,1646.683,1657.689,1659.545,-0.1118,77258873.0
2006-05-23,1647.962,1648.528,1597.102,1604.552,1657.689,-3.2055,69900145.0
2006-05-24,1609.742,1634.59,1562.387,1590.924,1604.552,-0.8493,57270432.0
2006-05-25,1585.466,1598.559,1563.863,1591.425,1590.924,0.0315,41049372.0
2006-05-26,1596.565,1614.553,1593.093,1613.894,1591.425,1.4119,43722532.0
2006-05-29,1622.108,1648.838,1609.005,1648.538,1613.894,2.1466,51715168.0
2006-05-30,1654.98,1663.929,1634.9,1657.288,1648.538,0.5308,53087733.0
2006-05-31,1656.284,1667.233,1628.679,1641.3,1657.288,-0.9647,57015979.0
2006-06-01,1639.673,1684.709,1635.746,1684.195,1641.3,2.6135,67843864.0
2006-06-02,1688.782,1695.58,1659.14,1669.399,1684.195,-0.8785,78144691.0
2006-06-05,1669.236,1685.292,1639.68,1684.624,1669.399,0.912,67297771.0
2006-06-06,1681.22,1692.825,1672.814,1679.126,1684.624,-0.3264,58422960.0
2006-06-07,1678.238,1678.238,1588.971,1589.545,1679.126,-5.335,65085316.0
2006-06-08,1576.435,1596.122,1540.934,1591.49,1589.545,0.1224,54576873.0
2006-06-09,1583.956,1594.438,1550.202,1551.384,1591.49,-2.52,47003917.0
2006-06-12,1540.216,1566.447,1529.503,1552.798,1551.384,0.0911,31496274.0
